# 3D Unsteady Flow: approximation to Ekman layer
# (P.R. Spalart, J.Fluid Mech. 205, 319)
# Free-stream velocity components are U,inf = U,0 cos(ft)
# and W,inf = U,0 sin(ft). U and W (and all six
# Reynolds stresses) are non-zero, but are functions of y and t only,
# not of x and z (so V = 0 by continuity). A program capable of computing
# steady flow over infinite swept wings (z coordinate along generators
# and d[ ]/dz=0) could be adapted: Ud[ ]/x becomes d[ ]/dt; Vd[ ]/dy
# and Wd[ ]/dz are zero - for different reasons - and the program can be
# stepped in time instead of marching in x.
# 
# Notation is explained in the JFM paper, especially para. 3.1:
# the defining Reynolds number, Rl, is U,0 [2/(f*nu)]^(1/2)
# where f is in rad/sec not Hz: it is independent of time.
# The length scale,delta = (Utau)/f, is quite close to the
# physical thickness: y- = y/delta. Rt = (Utau)*(delta)/nu. Phi0 (phi* in
# the JFM paper, eq. 18) is related to the direction of the surface shear
# stress, alpha = lim tan^1 (W/U) by eq. 18: it is not relevant to the
# computations.
# 
#  Rl            Utau     Phi0      Rt 
#  766.51428   0.05580   0.30867 914.74451
# 
# 
# === Part 1 ===
#   FIG 5 AND 7:
#      y-          U/Uref      W/Uref      yplus       U+          W+
  0.2676e+00  0.1016e+01  0.9441e-01  0.2448e+03  0.1786e+02 -0.3918e+01
  0.2815e+00  0.1021e+01  0.8830e-01  0.2575e+03  0.1792e+02 -0.4053e+01
  0.2960e+00  0.1027e+01  0.8186e-01  0.2707e+03  0.1797e+02 -0.4191e+01
  0.3110e+00  0.1031e+01  0.7505e-01  0.2845e+03  0.1801e+02 -0.4331e+01
  0.3268e+00  0.1035e+01  0.6813e-01  0.2989e+03  0.1804e+02 -0.4469e+01
  0.3433e+00  0.1038e+01  0.6164e-01  0.3140e+03  0.1805e+02 -0.4596e+01
  0.3605e+00  0.1040e+01  0.5556e-01  0.3298e+03  0.1805e+02 -0.4711e+01
  0.3786e+00  0.1041e+01  0.4943e-01  0.3463e+03  0.1804e+02 -0.4821e+01
  0.3975e+00  0.1040e+01  0.4307e-01  0.3636e+03  0.1799e+02 -0.4926e+01
  0.4174e+00  0.1037e+01  0.3650e-01  0.3818e+03  0.1791e+02 -0.5025e+01
  0.4383e+00  0.1035e+01  0.2980e-01  0.4009e+03  0.1783e+02 -0.5123e+01
  0.4603e+00  0.1032e+01  0.2339e-01  0.4211e+03  0.1775e+02 -0.5219e+01
