 Filename:   3DC_PST_01.DAT      

 3D converging nozzle (3Dc)
 Static pressure 
 Wall pressure taps

 Dinamic pressure                1000.18 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               971.8 mbar
 Air temperature (start)            28.5 C   
 Re 1m /10.E6                     2.5491
 Air density (start)              1.1182 kg/m**3 
 Air kin. viscosity (start)  0.16592E-04 m**2/s

 Date             3-MAY-90
 Time            10:33:59

  x [mm]    z [mm]    Pstat[Pa]  
   625.000  -150.000   75.2275
   625.000  -100.000   63.0728
   625.000   -50.000   55.3581
   625.000     0.000   53.5198
   625.000    50.000   56.4731
   625.000   100.000   64.0350
   625.000   150.000   74.5851
   625.000   200.000   92.6399
   625.000   250.000  115.2075
   625.000   300.000  143.8839
   625.000   350.000  176.9928

   650.000  -350.000  184.7611
   650.000  -300.000  150.0304
   650.000  -250.000  119.6913
   650.000  -200.000   94.6287
   650.000  -150.000   74.5800
   650.000  -100.000   62.8561
   650.000   -50.000   55.1848
   650.000     0.000   53.1061
   650.000    50.000   56.2323
   650.000   100.000   62.8091
   650.000   150.000   73.7052
   650.000   200.000   90.0881
   650.000   250.000  112.1265
   650.000   300.000  140.8551
   650.000   350.000  176.4463

   675.000  -300.000  147.7171
   675.000  -250.000  117.5885
   675.000  -200.000   93.0425
   675.000  -150.000   73.6224
   675.000  -100.000   61.7717
   675.000   -50.000   54.5482
   675.000     0.000   52.3135
   675.000    50.000   54.7184
   675.000   100.000   61.5715
   675.000   150.000   71.8527
   675.000   200.000   87.6045
   675.000   250.000  109.0316
   675.000   300.000  136.2427

   700.000  -300.000  143.9880
   700.000  -250.000  113.9589
   700.000  -200.000   90.2754
   700.000  -150.000   71.6481
   700.000  -100.000   60.2687
   700.000   -50.000   53.3146
   700.000     0.000   51.5754
   700.000    50.000   54.0385
   700.000   100.000   60.2649
   700.000   150.000   69.9115
   700.000   200.000   85.6049
   700.000   250.000  105.0010
   700.000   300.000  130.5834

   725.000  -300.000  139.0289
   725.000  -250.000  110.1307
   725.000  -200.000   88.1934
   725.000  -150.000   70.6329
   725.000  -100.000   59.5523
   725.000   -50.000   53.2585
   725.000     0.000   51.3218
   725.000    50.000   53.3361
   725.000   100.000   59.5852
   725.000   150.000   68.3084
   725.000   200.000   82.8995
   725.000   250.000  101.2162
   725.000   300.000  125.2470

   750.000  -300.000  131.4092
   750.000  -250.000  104.7098
   750.000  -200.000   84.5315
   750.000  -150.000   67.7519
   750.000  -100.000   59.3018
   750.000   -50.000   53.0665
   750.000     0.000   51.6486
   750.000    50.000   53.0595
   750.000   100.000   58.1809
   750.000   150.000   66.2346
   750.000   200.000   78.6643
   750.000   250.000   95.5493
   750.000   300.000  117.0671

   775.000  -300.000  119.6493
   775.000  -250.000   96.6376
   775.000  -200.000   79.1061
   775.000  -150.000   65.1898
   775.000  -100.000   57.4262
   775.000   -50.000   52.7401
   775.000     0.000   51.0753
   775.000    50.000   52.5711
   775.000   100.000   57.0554
   775.000   150.000   63.6885
   775.000   200.000   75.0437
   775.000   250.000   89.0959
   775.000   300.000  108.9394

   800.000  -300.000  106.6346
   800.000  -250.000   87.5304
   800.000  -200.000   72.7341
   800.000  -150.000   61.7897
   800.000  -100.000   54.9414
   800.000   -50.000   51.0725
   800.000     0.000   50.1706
   800.000    50.000   50.9535
   800.000   100.000   54.6174
   800.000   150.000   59.8713
   800.000   200.000   69.2532
   800.000   250.000   81.2391
   800.000   300.000   99.8052

   825.000  -300.000   93.7925
   825.000  -250.000   77.4594
   825.000  -200.000   66.6607
   825.000  -150.000   57.4352
   825.000  -100.000   52.6710
   825.000   -50.000   50.0364
   825.000     0.000   49.2222
   825.000    50.000   50.5957
   825.000   100.000   53.1255
   825.000   150.000   56.8871
   825.000   200.000   64.0928
   825.000   250.000   73.3111
   825.000   300.000   92.5143

   850.000  -300.000   81.4657
   850.000  -250.000   66.4678
   850.000  -200.000   59.5379
   850.000  -150.000   53.5332
   850.000  -100.000   50.5757
   850.000   -50.000   48.4967
   850.000     0.000   48.5999
   850.000    50.000   49.2049
   850.000   100.000   51.1300
   850.000   150.000   53.4292
   850.000   200.000   58.5030
   850.000   250.000   64.4944
   850.000   300.000   82.2939

   875.000  -250.000   54.5215
   875.000  -200.000   50.7377
