 Filename:   3DC_CFC_02.DAT      

 3D converging nozzle (3Dc)
 Wall shear stress 
 Pitot tube D=1 mm

 Dinamic pressure                 999.98 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               960.1 mbar
 Air temperature (start)            31.8 C   
 Re 1m /10.E6                     2.4987
 Air density (start)              1.1182 kg/m**3 
 Air kin. viscosity (start)  0.17222E-04 m**2/s

 Date            26-JUL-90
 Time            12:49:22

*****************************************************

 y [mm] =     0.00

 x [mm] =     0.00

 temperature   [C] =     31.8

 density [kg/m**3] =  1.09126
 -65.000    2.0225
 -60.000    1.9751
 -55.000    2.0061
 -50.000    1.9893
 -45.000    1.9792
 -40.000    1.9781
 -35.000    1.9639
 -30.000    1.9753
 -25.000    1.9906
 -20.000    1.9735
 -15.000    1.9785
 -10.000    1.9607
  -5.000    1.9713
   0.000    1.9742
   5.000    1.9709
  10.000    1.9930
  15.000    1.9770
  20.000    1.9877
  25.000    1.9935
  30.000    1.9724
  35.000    1.9776
  40.000    1.9712
  45.000    1.9887
  50.000    1.9642
  55.000    1.9680
  60.000    1.9808
  65.000    1.9865
  70.000    1.9843
  75.000    1.9810
  80.000    2.0159
  85.000    2.0305
  90.000    2.0477
  95.000    2.0562
 100.000    2.0719
 105.000    2.0873
 110.000    2.1176
 115.000    2.1425
 120.000    2.1612
 125.000    2.1640
 130.000    2.1787
 135.000    2.2452
 140.000    2.3977
 145.000    2.5619
 150.000    2.7623
 155.000    2.9012
 160.000    3.0049
 165.000    3.0796
 170.000    3.0774
 175.000    3.0378
 180.000    2.9094
 185.000    2.7108
 190.000    2.3933
 195.000    2.0599

*****************************************************

 y [mm] =     0.00

 x [mm] =  2500.00

 temperature   [C] =     32.7

 density [kg/m**3] =  1.08780

 z [mm]   Cf*1000[-] 

-195.000    2.0177
-190.000    2.2657
-185.000    2.5345
-180.000    2.7336
-175.000    2.8797
-170.000    2.9114
-165.000    2.9514
-160.000    2.9142
-155.000    2.8802
-150.000    2.7747
-145.000    2.6311
-140.000    2.4610
-135.000    2.3241
-130.000    2.2143
-125.000    2.1414
-120.000    2.1722
-115.000    2.1755
-110.000    2.1750
-105.000    2.1416
-100.000    2.1265
 -95.000    2.0545
 -90.000    2.0279
 -85.000    2.0507
 -80.000    2.0232
 -75.000    2.0171
 -70.000    1.9873
 -65.000    1.9690
 -60.000    1.9631
 -55.000    1.9575
 -50.000    1.9561
 -45.000    1.9528
 -40.000    1.9405
 -35.000    1.9235
 -30.000    1.9364
 -25.000    1.9532
 -20.000    1.9405
 -15.000    1.9494
 -10.000    1.9270
  -5.000    1.9295
   0.000    1.9220
   5.000    1.9592
  10.000    1.9530
  15.000    1.9462
  20.000    1.9395
  25.000    1.9217
  30.000    1.9551
  35.000    1.9348
  40.000    1.9437
  45.000    1.9465
  50.000    1.9218
  55.000    1.9474
  60.000    1.9517
  65.000    1.9369
  70.000    1.9281
  75.000    1.9655
  80.000    1.9646
  85.000    2.0130
  90.000    2.0130
  95.000    2.0106
 100.000    2.0703
 105.000    2.0691
 110.000    2.1107
 115.000    2.1422
 120.000    2.1306
 125.000    2.1404
 130.000    2.1617
 135.000    2.2582
 140.000    2.4002
 145.000    2.5261
 150.000    2.6959
 155.000    2.8119
 160.000    2.9230
 165.000    2.9426
 170.000    2.9027
 175.000    2.8484
 180.000    2.7425
 185.000    2.5307
 190.000    2.2068
 195.000    1.8772

