 Filename:   3DC_P3S_04.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                 999.69 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               959.4 mbar
 Air temperature (start)            32.1 C   
 Re 1m /10.E6                     2.4947
 Air density (start)              1.0900 kg/m**3 
 Air kin. viscosity (start)  0.17168E-04 m**2/s

 Date            22-MAY-90
 Time            14:25:40

*****************************************************

 x [mm] =     0.00

 z [mm] =     0.00

 temperature   [C] =     32.2

 density [kg/m**3] =  1.08923

 y [mm]   Q  [m/s]  yaw[deg]  

  14.000   33.6799   -0.0560
  13.000   33.1986   -0.0653
  12.000   32.7352    0.0351
  11.000   32.3493   -0.0815
  10.000   31.7426   -0.0475
   9.000   31.2546   -0.0945
   8.000   30.7492    0.0103
   7.000   29.9623   -0.0404
   6.000   29.3357   -0.0130
   5.000   28.6410   -0.0461
   4.500   28.2533   -0.0356
   4.000   27.7118    0.0610
   3.500   27.2632    0.0422
   3.000   26.6820    0.0880
   2.500   26.1226    0.0189
   2.000   25.3813    0.1312
   1.500   24.3514    0.1090
   1.000   23.1274    0.1574
   0.800   22.4292    0.1370
   0.650   21.8861    0.0292
   0.500   21.1206    0.1945
   0.350   20.0285    0.2036
   0.250   18.5243    0.3025

*****************************************************

 x [mm] =  1500.00

 z [mm] =     0.00

 temperature   [C] =     32.7

 density [kg/m**3] =  1.08704

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.3312    0.1001
  75.000   44.3100    0.0946
  70.000   44.3508    0.1247
  65.000   44.2359    0.1045
  62.000   44.0972    0.1102
  60.000   43.9087    0.0997
  58.000   43.6903    0.1113
  56.000   43.4076    0.0933
  54.000   43.1311    0.0859
  52.000   42.7249    0.0904
  50.000   42.3838    0.0872
  48.000   42.0049    0.0593
  46.000   41.6465    0.0596
  44.000   41.1982    0.0777
  42.000   40.7868    0.0548
  40.000   40.2898    0.0514
  38.000   39.8465    0.0422
  36.000   39.3196    0.0499
  34.000   38.8719    0.0385
  32.000   38.4008    0.0560
  30.000   37.8651    0.0566
  28.000   37.2887    0.1008
  26.000   36.6537    0.0299
  24.000   36.1402    0.0696
  22.000   35.5331    0.1165
  20.000   34.7922    0.1345
  19.000   34.4997    0.1064
  18.000   34.1763    0.0512
  17.000   33.8418    0.1166
  16.000   33.4844    0.0737
  15.000   33.1494    0.1325
  14.000   32.6862    0.1541
  13.000   32.2425    0.0959
  12.000   31.9047    0.1351
  11.000   31.3859    0.1243
  10.000   30.8766    0.1322
   9.000   30.3969    0.1143
   8.000   29.7058    0.1768
   7.000   29.1832    0.1649
   6.000   28.5421    0.1661
   5.000   27.7863    0.1950
   4.500   27.3520    0.1246
   4.000   26.8325    0.2972
   3.500   26.4073    0.2776
   3.000   25.9598    0.2936
   2.500   25.2976    0.3728
   2.000   24.4045    0.3039
   1.500   23.4846    0.3819
   1.000   22.2778    0.3680
   0.800   21.6982    0.4306
   0.650   21.1331    0.4441
   0.500   20.4335    0.4967
   0.350   19.3506    0.5517
   0.250   17.8322    0.4541

*****************************************************

 x [mm] =  1750.00

 z [mm] =     0.00

 temperature   [C] =     32.6

 density [kg/m**3] =  1.08727

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4159    0.2082
  75.000   44.3819    0.1965
  70.000   44.2312    0.1912
  65.000   43.8956    0.1855
  62.000   43.5509    0.2057
  60.000   43.2469    0.1658
  58.000   42.9552    0.1734
  56.000   42.6136    0.1583
  54.000   42.2324    0.1760
  52.000   41.8497    0.1845
  50.000   41.5716    0.1505
  48.000   41.1901    0.1496
  46.000   40.7608    0.1358
  44.000   40.3168    0.1746
  42.000   39.8640    0.1590
  40.000   39.4866    0.1654
  38.000   38.9632    0.1496
  36.000   38.5432    0.1600
  34.000   38.0596    0.1696
  32.000   37.6037    0.1732
  30.000   37.0273    0.1934
  28.000   36.5318    0.1702
  26.000   36.1002    0.1778
  24.000   35.4600    0.2040
  22.000   34.8421    0.2513
  20.000   34.2478    0.2411
  19.000   33.9643    0.2354
  18.000   33.5763    0.2755
  17.000   33.2801    0.2297
  16.000   33.0011    0.2496
  15.000   32.5662    0.2251
  14.000   32.2288    0.3066
  13.000   31.7119    0.2516
  12.000   31.3833    0.3119
  11.000   30.7944    0.3215
  10.000   30.3073    0.3415
   9.000   29.8078    0.3176
   8.000   29.2991    0.3440
   7.000   28.6814    0.3089
   6.000   28.1000    0.3780
   5.000   27.3284    0.3981
   4.500   26.7721    0.4290
   4.000   26.3823    0.3880
   3.500   25.8416    0.4855
   3.000   25.4358    0.4844
   2.500   24.7249    0.5514
   2.000   23.8669    0.5230
   1.500   23.1271    0.6011
   1.000   21.6954    0.5746
   0.800   21.2988    0.3951
   0.650   20.6146    0.6481
   0.500   19.9635    0.5713
   0.350   18.8362    0.5302
   0.250   17.3215    0.6021

*****************************************************

 x [mm] =  2000.00

 z [mm] =     0.00

 temperature   [C] =     32.7

 density [kg/m**3] =  1.08716

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4253    0.2864
  75.000   44.3400    0.2943
  70.000   44.0490    0.2969
  65.000   43.4797    0.2715
  62.000   43.0881    0.2749
  60.000   42.7627    0.2777
  58.000   42.4425    0.2935
  56.000   42.1068    0.2753
  54.000   41.7489    0.2395
  52.000   41.3579    0.2574
  50.000   41.0300    0.2523
  48.000   40.6629    0.2434
  46.000   40.2340    0.2196
  44.000   39.8200    0.2623
  42.000   39.4721    0.2688
  40.000   38.9949    0.2607
  38.000   38.5979    0.3017
  36.000   38.1422    0.2814
  34.000   37.6815    0.2998
  32.000   37.1312    0.3100
  30.000   36.6877    0.3205
  28.000   36.1831    0.3289
  26.000   35.6419    0.3407
  24.000   35.1329    0.3746
  22.000   34.4950    0.3858
  20.000   34.0154    0.3716
  19.000   33.7122    0.4023
  18.000   33.4048    0.4262
  17.000   32.9227    0.4372
  16.000   32.6269    0.4675
  15.000   32.2439    0.4290
  14.000   31.7149    0.3946
  13.000   31.3027    0.5021
  12.000   30.8989    0.4960
  11.000   30.3773    0.4231
  10.000   29.9659    0.5434
   9.000   29.4293    0.4715
   8.000   28.9202    0.5071
   7.000   28.3039    0.5620
   6.000   27.6190    0.6887
   5.000   26.9038    0.5554
   4.500   26.5863    0.6350
   4.000   26.0435    0.7140
   3.500   25.5393    0.7379
   3.000   25.0516    0.6833
   2.500   24.3335    0.6858
   2.000   23.5642    0.8296
   1.500   22.7439    0.7026
   1.000   21.5789    0.8691
   0.800   20.9817    0.7968
   0.650   20.3760    0.8214
   0.500   19.8055    0.6807
   0.350   18.5037    0.8646
   0.250   16.9707    1.0623

*****************************************************

 x [mm] =  2250.00

 z [mm] =     0.00

 temperature   [C] =     32.7

 density [kg/m**3] =  1.08693

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4932    0.2642
  75.000   44.3209    0.2613
  70.000   43.8906    0.2696
  65.000   43.2634    0.2390
  62.000   42.8362    0.2501
  60.000   42.5185    0.2596
  58.000   42.1958    0.2594
  56.000   41.7985    0.2689
  54.000   41.4992    0.2479
  52.000   41.0512    0.2505
  50.000   40.7259    0.2386
  48.000   40.3696    0.2308
  46.000   39.9594    0.2497
  44.000   39.5680    0.2504
  42.000   39.1868    0.2883
  40.000   38.7506    0.2615
  38.000   38.3395    0.2812
  36.000   37.9195    0.2828
  34.000   37.4650    0.3180
  32.000   36.9977    0.2940
  30.000   36.5211    0.3020
  28.000   36.0489    0.3111
  26.000   35.5147    0.3448
  24.000   35.0190    0.3450
  22.000   34.3399    0.3624
  20.000   33.7229    0.4253
  19.000   33.3955    0.3859
  18.000   33.0770    0.3824
  17.000   32.6839    0.4086
  16.000   32.4582    0.3754
  15.000   31.9684    0.3763
  14.000   31.5986    0.3922
  13.000   31.0593    0.4257
  12.000   30.6955    0.4454
  11.000   30.2493    0.4339
  10.000   29.7673    0.4299
   9.000   29.2980    0.4263
   8.000   28.6373    0.4571
   7.000   28.3200    0.4997
   6.000   27.6875    0.4973
   5.000   26.9126    0.5872
   4.500   26.3790    0.4984
   4.000   26.0367    0.5306
   3.500   25.5763    0.5104
   3.000   25.0099    0.5922
   2.500   24.4665    0.4617
   2.000   23.5882    0.6398
   1.500   22.8039    0.5361
   1.000   21.5272    0.5911
   0.800   20.9509    0.5334
   0.650   20.3920    0.6702
   0.500   19.8746    0.5189
   0.350   18.5504    0.7519
   0.250   17.0857    0.6919

*****************************************************

 x [mm] =  2500.00

 z [mm] =     0.00

 temperature   [C] =     32.7

 density [kg/m**3] =  1.08687

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4312    0.2533
  75.000   44.0904    0.2413
  70.000   43.5998    0.2434
  65.000   42.9347    0.2076
  62.000   42.4913    0.2126
  60.000   42.1519    0.2228
  58.000   41.7852    0.2248
  56.000   41.4576    0.2476
  54.000   41.0946    0.2313
  52.000   40.7320    0.2434
  50.000   40.4025    0.2265
  48.000   39.9977    0.2426
  46.000   39.6512    0.2119
