%F0251a.pt2 Van den Berg et al. 35 deg. yawed wing
%Turbulence data
%Stn. no  1,    5,    7,    9,    11,    13,    15,    17
%x (m) .495, .795, .895, .995, 1.095, 1.195, 1.295, 1.395
%___________________________________________________________
%
%
%Station   x(m)     Ue/Uref    Alfa     Cf     Beta,w
%   1     0.495      1.000     4.00  0.003155   1.50
%Max and min. values for each column
% 2.00000E-02  8.81139E-03  3.72800E-03  4.40161E-03 -%1.00884E-04 -3.00000E-06 -2.51362E-03
% 2.50000E-03  2.50000E-05  2.60000E-05  3.10000E-05  %3.68055E-05  3.65881E-04  0.00000E+00
%Norm.y  u2    v2    w2    vw    uw    uv     y          u2/Qe       v2/Qe       w2/Qe       vw/Qe       uw/Qe       uv/Qe
 6522   167   539   214  6190     0   173  4.0002E-02  2.5633E-04  2.9200E-04  2.2634E-04 -5.9350E-08  2.6000E-05 -5.3137E-05
 6957    62   268    84  6162   172    17  4.2503E-02  1.1906E-04  1.6379E-04  1.1922E-04  3.9773E-06 -4.9591E-06 -7.0250E-06
 7391    31   118    35  6176   194     0  4.4998E-02  7.8528E-05  9.2826E-05  7.8841E-05  1.9590E-06 -8.9190E-06 -2.0000E-06
 7826    18    70    18  6176   183     0  4.7500E-02  6.1533E-05  7.0117E-05  6.4833E-05  1.9590E-06 -6.9391E-06 -2.0000E-06
 8261    10    40    12  6217   183     7  5.0001E-02  5.1074E-05  5.5924E-05  5.9888E-05 -3.9518E-06 -6.9391E-06 -4.0691E-06
 8696     5    19     7  6176   167     0  5.2502E-02  4.4537E-05  4.5989E-05  5.5768E-05  1.9590E-06 -4.0592E-06 -2.0000E-06
 9130     3    11     4  6176   167     7  5.4998E-02  4.1922E-05  4.2204E-05  5.3296E-05  1.9590E-06 -4.0592E-06 -4.0691E-06
 9565     2     4     2  6162   167    10  5.7499E-02  4.0615E-05  3.8892E-05  5.1648E-05  3.9773E-06 -4.0592E-06 -4.9559E-06
10000     0     0     0  6176   167    10  6.0000E-02  3.8000E-05  3.7000E-05  5.0000E-05  1.9590E-06 -4.0592E-06 -4.9559E-06
%
%
%Station   x(m)     Ue/Uref    Alfa     Cf     Beta,w
%  13     1.195      0.834     14.70  0.001549  33.80
%Max and min. values for each column
%7.000000E-02 1.571030E-02 5.233000E-03 1.050610E-02 -6.31846E-04 -2.83340E-03 -3.53411E-03
%2.500000E-03 4.700000E-05 4.900000E-05 6.000000E-05 1.329720E-03 3.506820E-04 -2.00000E-06
%                                              y          u2/Qe       v2/Qe       w2/Qe       vw/Qe       uw/Qe       uv/Qe
    0  5431  4545  5217 10000     0  4163  2.5000E-03  8.5537E-03  2.4051E-03  5.5097E-03 -6.3185E-04  3.5068E-04 -1.4724E-03
   74  5447  4680  5105  9911   387  4281  2.9995E-03  8.5788E-03  2.4751E-03  5.3927E-03 -6.1439E-04  2.2746E-04 -1.5141E-03
  222  5838  5183  5217  8551  1274  4915  3.9985E-03  9.1912E-03  2.7359E-03  5.5097E-03 -3.4762E-04 -5.4970E-05 -1.7380E-03
  519  6422  6007  5668  7322  2937  5739  6.0033E-03  1.0106E-02  3.1630E-03  5.9808E-03 -1.0654E-04 -5.8448E-04 -2.0291E-03
  815  7288  6983  6447  5196  4689  6753  8.0013E-03  1.1462E-02  3.6690E-03  6.7946E-03  3.1049E-04 -1.1423E-03 -2.3872E-03
 1111  7705  7498  7144  4741  5823  7137  9.9993E-03  1.2116E-02  3.9360E-03  7.5227E-03  3.9974E-04 -1.5034E-03 -2.5229E-03
 1407  8465  8370  7902  3426  7105  7818  1.1997E-02  1.3306E-02  4.3880E-03  8.3145E-03  6.5769E-04 -1.9116E-03 -2.7634E-03
 1704  8970  8827  8477  2342  8079  8822  1.4002E-02  1.4097E-02  4.6249E-03  8.9152E-03  8.7032E-04 -2.2217E-03 -3.1180E-03
 2000  9373  9319  9024  1224  9025  9206  1.6000E-02  1.4728E-02  4.8800E-03  9.4866E-03  1.0896E-03 -2.5230E-03 -3.2537E-03
 2296  9761  9672  9485  1546  9288  9789  1.7998E-02  1.5336E-02  5.0630E-03  9.9681E-03  1.0265E-03 -2.6067E-03 -3.4596E-03
 2593 10000 10000  9820     0  9899 10000  2.0003E-02  1.5710E-02  5.2330E-03  1.0318E-02  1.3297E-03 -2.8012E-03 -3.5341E-03
 2889  9924  9770 10000   941 10000  9914  2.2001E-02  1.5591E-02  5.1138E-03  1.0506E-02  1.1451E-03 -2.8334E-03 -3.5037E-03
 3185  9751  9979  9769   562  9868  9624  2.3999E-02  1.5320E-02  5.2221E-03  1.0265E-02  1.2195E-03 -2.7914E-03 -3.4013E-03
 3481  9362  9491  9675   831  9396  9741  2.5997E-02  1.4711E-02  4.9691E-03  1.0167E-02  1.1667E-03 -2.6411E-03 -3.4426E-03
 3778  8843  9298  9110   740  9251  9128  2.8002E-02  1.3898E-02  4.8691E-03  9.5764E-03  1.1846E-03 -2.5949E-03 -3.2261E-03
 4074  8240  8808  8584  1626  7694  7927  3.0000E-02  1.2954E-02  4.6151E-03  9.0269E-03  1.0108E-03 -2.0992E-03 -2.8019E-03
 4444  7043  7884  7277  2464  6796  6584  3.2497E-02  1.1079E-02  4.1361E-03  7.6616E-03  8.4639E-04 -1.8132E-03 -2.3275E-03
 4815  5861  6736  6139  2954  5806  6050  3.5001E-02  9.2273E-03  3.5409E-03  6.4729E-03  7.5027E-04 -1.4980E-03 -2.1389E-03
 5185  4589  5621  5013  3759  4981  4634  3.7499E-02  7.2349E-03  2.9629E-03  5.2966E-03  5.9237E-04 -1.2353E-03 -1.6388E-03
 5556  3528  4244  3618  4604  3611  3743  4.0003E-02  5.5730E-03  2.2491E-03  3.8394E-03  4.2662E-04 -7.9909E-04 -1.3241E-03
 5926  2332  3289  2255  5374  2432  1680  4.2501E-02  3.6997E-03  1.7540E-03  2.4156E-03  2.7557E-04 -4.2369E-04 -5.9539E-04
 6296  1194  2089  1218  6323  1450  1138  4.4998E-02  1.9172E-03  1.1319E-03  1.3323E-03  8.9422E-05 -1.1101E-04 -4.0395E-04
 6667   497  1348   548  6550  1063   153  4.7502E-02  8.2547E-04  7.4780E-04  6.3245E-04  4.4894E-05  1.2214E-05 -5.6041E-05
 7037   162   625   212  6682  1067   136  5.0000E-02  3.0075E-04  3.7300E-04  2.8146E-04  1.9002E-05  1.0940E-05 -5.0037E-05
 7407    79   338   108  6753  1130     8  5.2497E-02  1.7074E-04  2.2422E-04  1.7282E-04  5.0745E-06 -9.1193E-06 -4.8257E-06
 7778    37   174    45  6753  1145     8  5.5002E-02  1.0495E-04  1.3920E-04  1.0701E-04  5.0745E-06 -1.3895E-05 -4.8257E-06
 8148    22    98    24  6779  1130     0  5.7499E-02  8.1459E-05  9.9803E-05  8.5071E-05 -2.5591E-08 -9.1193E-06 -2.0000E-06
 8519    13    58    17  6769  1136     3  6.0003E-02  6.7362E-05  7.9067E-05  7.7758E-05  1.9360E-06 -1.1030E-05 -3.0596E-06
 8889     9    37     9  6764  1126     0  6.2501E-02  6.1097E-05  6.8181E-05  6.9401E-05  2.9168E-06 -7.8456E-06 -2.0000E-06
 9259     4    17     6  6769  1120     0  6.4998E-02  5.3265E-05  5.7813E-05  6.6268E-05  1.9360E-06 -5.9352E-06 -2.0000E-06
 9630     3    10     4  6769  1117     0  6.7503E-02  5.1699E-05  5.4184E-05  6.4178E-05  1.9360E-06 -4.9800E-06 -2.0000E-06
10000     0     0     0  6769  1117     3  7.0000E-02  4.7000E-05  4.9000E-05  6.0000E-05  1.9360E-06 -4.9800E-06 -3.0596E-06
%
%
%Station   x(m)     Ue/Uref    Alfa     Cf     Beta,w
%  15     1.295      0.823     15.80  0.001520  38.30
%Max and min. values for each column
%8.000000E-02 1.798130E-02 7.250000E-03 1.309870E-02 -8.17518E-04 -4.06748E-03 -4.21801E-03
%2.500000E-03 5.900000E-05 7.400000E-05 7.100000E-05 1.799890E-03 7.566230E-04 5.000000E-06
%                                              y          u2/Qe       v2/Qe       w2/Qe       vw/Qe       uw/Qe       uv/Qe
    0  3880  3117  4066 10000     0  2636  2.5000E-03  7.0129E-03  2.3108E-03  5.3681E-03 -8.1752E-04  7.5662E-04 -1.1082E-03
   65  4058  3186  4056  9572   261  3114  3.0038E-03  7.3319E-03  2.3603E-03  5.3550E-03 -7.0549E-04  6.3071E-04 -1.3100E-03
  194  4196  3505  3991  8733   496  3311  4.0035E-03  7.5792E-03  2.5892E-03  5.2704E-03 -4.8589E-04  5.1735E-04 -1.3932E-03
  452  4588  4181  4221  7477  1602  4005  6.0030E-03  8.2818E-03  3.0743E-03  5.5700E-03 -1.5715E-04 -1.6198E-05 -1.6863E-03
  710  5302  4823  4510  6173  2719  4313  8.0025E-03  9.5614E-03  3.5350E-03  5.9465E-03  1.8416E-04 -5.5505E-04 -1.8164E-03
