%F0251a.pt1  Van den Berg et al. 35 deg. yawed wing
%J. Fluid Mech. vol. 70, p. 127 (1975).
% Columns of normalized values (min. = 0, max = 10000)
% from 1980-81 data library, followed by "true" values.
%Station numbers and x values are different for mean
%flow (this file) and turbulence measurements (pt2):-
%
%Stn. no 2,   3,   4,   6,   8,   10,   12,   14,   16,   18
%x (m) .52, .62, .72, .82, .92, 1.02, 1.12, 1.22, 1.32, 1.42
%___________________________________________________________
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
 1080  3835 10000  7.9727E-03  4.9500E-01  3.6200E-01
 1222  3896  9806  8.9999E-03  5.0003E-01  3.5502E-01
 1360  4126  9889  9.9982E-03  5.1898E-01  3.5800E-01
 1498  4175  9694  1.0997E-02  5.2302E-01  3.5098E-01
 1637  4223  9528  1.2002E-02  5.2698E-01  3.4501E-01
 1774  4223  9194  1.2993E-02  5.2698E-01  3.3298E-01
 1913  4417  9194  1.3999E-02  5.4296E-01  3.3298E-01
 2050  4490  8917  1.4990E-02  5.4898E-01  3.2301E-01
 2187  4563  8667  1.5981E-02  5.5499E-01  3.1401E-01
 2465  4660  8222  1.7992E-02  5.6298E-01  2.9799E-01
 2744  4818  7889  2.0010E-02  5.7600E-01  2.8600E-01
 3019  4939  7444  2.1999E-02  5.8597E-01  2.6998E-01
 3297  5133  7083  2.4010E-02  6.0196E-01  2.5699E-01
 3576  5279  6639  2.6029E-02  6.1399E-01  2.4100E-01
