%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 1792
%  N_r                         =  140
%  N_theta                     =  768
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 44000
%  Friction Reynolds number    = 1136.6
%  Friction factor             = 0.02136
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.4486943245E+03    0.2101428521E+02   -0.1172122338E+01    0.2407174987E+01    0.9367759298E+00    0.1184129873E+01    0.5951929837E+00    0.3104739975E+01
    0.4532043682E+03    0.2105037661E+02   -0.1169746306E+01    0.2389655380E+01    0.9327389599E+00    0.1177867777E+01    0.5912930382E+00    0.3080396448E+01
    0.4577250452E+03    0.2108632020E+02   -0.1167339953E+01    0.2372139723E+01    0.9286726990E+00    0.1171563919E+01    0.5873815148E+00    0.3056124819E+01
    0.4622563080E+03    0.2112212277E+02   -0.1164900615E+01    0.2354624402E+01    0.9245744562E+00    0.1165247527E+01    0.5834546122E+00    0.3031907579E+01
    0.4667981095E+03    0.2115778905E+02   -0.1162425403E+01    0.2337093456E+01    0.9204411138E+00    0.1158929935E+01    0.5795084727E+00    0.3007735460E+01
    0.4713504032E+03    0.2119331861E+02   -0.1159911828E+01    0.2319536503E+01    0.9162699621E+00    0.1152608837E+01    0.5755403677E+00    0.2983603330E+01
    0.4759131431E+03    0.2122870632E+02   -0.1157360121E+01    0.2301970443E+01    0.9120609859E+00    0.1146274534E+01    0.5715525107E+00    0.2959517517E+01
    0.4804862835E+03    0.2126394790E+02   -0.1154774050E+01    0.2284425127E+01    0.9078177616E+00    0.1139917549E+01    0.5675544996E+00    0.2935499439E+01
    0.4850697795E+03    0.2129903996E+02   -0.1152159351E+01    0.2266910368E+01    0.9035459652E+00    0.1133535445E+01    0.5635582035E+00    0.2911571666E+01
    0.4896635863E+03    0.2133397624E+02   -0.1149520937E+01    0.2249421854E+01    0.8992505728E+00    0.1127121781E+01    0.5595693638E+00    0.2887747767E+01
    0.4942676598E+03    0.2136875257E+02   -0.1146860861E+01    0.2231953639E+01    0.8949339021E+00    0.1120673388E+01    0.5555860376E+00    0.2864029875E+01
    0.4988819564E+03    0.2140336756E+02   -0.1144179460E+01    0.2214499579E+01    0.8905965526E+00    0.1114180940E+01    0.5516028324E+00    0.2840407543E+01
    0.5035064327E+03    0.2143781836E+02   -0.1141477411E+01    0.2197053535E+01    0.8862393828E+00    0.1107618244E+01    0.5476129767E+00    0.2816859395E+01
    0.5081410459E+03    0.2147210593E+02   -0.1138755726E+01    0.2179604240E+01    0.8818637032E+00    0.1100967622E+01    0.5436082203E+00    0.2793363919E+01
    0.5127857538E+03    0.2150623787E+02   -0.1136014494E+01    0.2162159412E+01    0.8774701072E+00    0.1094238929E+01    0.5395822732E+00    0.2769896524E+01
    0.5174405142E+03    0.2154021869E+02   -0.1133252402E+01    0.2144745247E+01    0.8730577145E+00    0.1087464253E+01    0.5355355954E+00    0.2746427281E+01
    0.5221052857E+03    0.2157404465E+02   -0.1130467648E+01    0.2127375775E+01    0.8686248996E+00    0.1080676442E+01    0.5314731701E+00    0.2722933174E+01
    0.5267800273E+03    0.2160771257E+02   -0.1127659798E+01    0.2110030777E+01    0.8641712216E+00    0.1073886188E+01    0.5273988521E+00    0.2699411955E+01
    0.5314646981E+03    0.2164122312E+02   -0.1124830512E+01    0.2092698138E+01    0.8596982808E+00    0.1067075139E+01    0.5233155194E+00    0.2675879012E+01
